"Physical flow account for greenhouse gas emissions 1 2 3 4 5 6 7 8 9 10 11"
"Frequency: Annual"
"Table: 38-10-0097-01 (formerly CANSIM 153-0114)"
"Release date: 2021-03-26"
"Geography: Canada, Province or territory"
""
""

"Geography","Sector","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
,"Total, households","3,663","3,831","4,412","4,177","3,499","3,385","3,853","4,047","3,837","3,800"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","18,190","18,156","18,256","16,558","14,719","13,583","13,855","14,462","13,533","13,243"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","-3,446","-2,468","-3,126","-3,056","-2,966","-2,755","-3,402","-4,111","-4,506","-4,580"
"Quebec","Total, industries and households","97,662","95,078","96,353","94,521","93,767","92,344","94,671","93,976","96,305","98,861"
,"Total, industries","67,632","64,611","64,666","63,406","62,357","61,405","63,667","62,882","64,662","65,814"
,"Total, households","30,030","30,467","31,688","31,115","31,411","30,938","31,005","31,094","31,643","33,047"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","81,578","79,109","81,482","80,005","80,329","78,335","78,602","78,461","80,424","82,550"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","-16,084","-15,968","-14,872","-14,516","-13,439","-14,009","-16,069","-15,514","-15,881","-16,311"
"Ontario","Total, industries and households","173,489","183,689","183,333","177,597","176,986","175,143","172,641","168,287","165,549","174,534"
,"Total, industries","121,617","130,674","128,215","126,555","122,118","120,085","118,976","116,721","113,368","117,941"
,"Total, households","51,872","53,016","55,118","51,042","54,868","55,058","53,665","51,566","52,181","56,594"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","164,522","172,330","171,289","167,594","167,248","164,715","162,561","159,601","155,370","164,979"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","-8,967","-11,360","-12,044","-10,003","-9,739","-10,428","-10,080","-8,686","-10,179","-9,555"
"Manitoba","Total, industries and households","19,674","19,360","19,175","20,538","21,193","21,339","20,828","21,299","21,097","22,161"
,"Total, industries","15,844","15,266","15,252","16,067","16,506","16,652","16,557","16,939","16,702","17,452"
,"Total, households","3,830","4,094","3,922","4,471","4,687","4,687","4,271","4,360","4,395","4,709"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","19,376","19,137","18,897","20,214","20,948","20,878","20,634","20,889","20,779","21,806"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","-299","-223","-278","-323","-245","-461","-194","-411","-318","-354"
"Saskatchewan","Total, industries and households","68,478","67,854","67,165","69,795","72,392","74,246","76,450","72,597","75,704","75,012"
,"Total, industries","62,446","61,376","61,620","63,701","65,822","68,063","70,289","66,459","69,337","68,568"
,"Total, households","6,032","6,478","5,545","6,094","6,570","6,183","6,162","6,138","6,366","6,443"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","69,048","68,787","68,213","70,043","72,236","74,978","77,200","74,511","76,720","76,442"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","569","932","1,048","247","-156","732","750","1,914","1,016","1,431"
"Alberta","Total, industries and households","240,813","247,581","258,660","269,805","283,190","288,820","286,957","272,799","283,347","286,310"
,"Total, industries","221,476","228,498","239,507","250,139","262,263","267,268","267,241","254,360","262,918","264,991"
,"Total, households","19,337","19,084","19,153","19,666","20,927","21,551","19,715","18,440","20,429","21,318"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","234,631","240,267","249,374","262,233","272,308","276,782","276,180","265,198","272,198","272,555"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","-6,181","-7,315","-9,285","-7,572","-10,882","-12,037","-10,776","-7,601","-11,149","-13,755"
"British Columbia","Total, industries and households","75,293","77,769","77,718","79,369","80,337","81,127","80,946","81,161","82,294","84,237"
,"Total, industries","61,185","64,110","63,560","65,335","65,806","66,809","66,394","66,088","66,585","68,632"
,"Total, households","14,107","13,659","14,157","14,034","14,532","14,318","14,552","15,073","15,709","15,605"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","57,807","57,413","58,446","59,151","60,272","60,241","59,270","61,826","63,318","65,525"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","-17,486","-20,356","-19,272","-20,218","-20,065","-20,886","-21,675","-19,335","-18,976","-18,712"
"Yukon","Total, industries and households","584","658","703","706","631","486","519","520","550","633"
,"Total, industries","444","508","549","558","483","360","390","392","412","479"
,"Total, households","141","151","155","148","147","126","129","128","138","154"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","565","636","671","660","579","474","500","502","539","619"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","-19","-23","-33","-46","-52","-12","-19","-18","-12","-14"
"Northwest Territories","Total, industries and households","1,655","1,749","1,800","1,865","1,793","1,901","1,974","1,868","1,633","1,739"
,"Total, industries","1,470","1,598","1,620","1,710","1,649","1,721","1,794","1,711","1,499","1,593"
,"Total, households","185","151","180","155","144","180","180","157","134","146"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","1,253","1,436","1,488","1,511","1,331","1,500","1,693","1,587","1,280","1,230"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","-402","-313","-313","-355","-462","-401","-281","-281","-353","-508"
"Nunavut","Total, industries and households","444","471","464","526","656","677","651","694","718","770"
,"Total, industries","412","437","428","488","614","605","552","622","652","713"
,"Total, households","32","34","36","38","42","71","99","72","66","57"
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","758","809","787","784","762","705","596","695","704","702"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13","315","338","323","258","106","28","-55","1","-14","-68"

Footnotes:
1,"Data source: Statistics Canada, Environment and Energy Statistics Division.
"
2,"Carbon dioxide equivalent emissions are estimated using global warming potentials for methane and nitrous oxide of 25 and 298 respectively."
3,"Emission sources included in these estimates: combustion of fossil fuels and biomass; non-combustion uses of fossil fuels; industrial processes; agricultural soils; livestock manure and enteric fermentation."
4,"The supply and use tables are built around three classification systems, namely the Input-Output Industry Classification (IOIC) for industries, the Supply and Use Product Classification (SUPC) for products (goods and services), and the Input-Output Final Demand Classification (IOFDC) for final demand categories. The Input-Output Industry Classification (IOIC) is based on the North American Industry Classification System (NAICS) and the Supply and Use Product Classification (SUPC) is based on the North American Products Classification System (NAPCS). The Input-Output Final Demand Classification is based on the Classification of Individual Consumption by Purpose (COICOP) for the personal expenditure categories and the North American Industry Classification (NAICS) for the gross fixed capital formation categories.  This table is published at the link 1961 level of the supply and use tables."
5,"The alphanumeric codes appearing in square brackets beside each industry title represent the Input-Output Industry Classification (IOIC) codes. The IOIC identifies both institutional sectors and industries based on the North American Industry Classification System (NAICS). The first two characters of the IOIC alphanumeric codes represent the sector. IOIC codes beginning with a BS represent business sector industries, codes beginning with an NP represent Non-Profit Institutions Serving Household (NPISH) sector industries, and codes beginning with a GS represent government sector industries."
6,"This table replaces table 38-10-0111-01."
7,"Totals may not add due to rounding."
8,"For more information on the concepts, sources and methods, please consult the <a href="https://www150.statcan.gc.ca/n1/pub/16-509-x/2016001/29-eng.htm">Greenhouse gas emissions account</a> section of the Methodological guide: Canadian System of Environmental-Economic Accounting (<a href = "http://www5.statcan.gc.ca/olc-cel/olc.action?objId=16-509-X&objType=2&lang=en&limit=0">16-509-X</a>)."
9,"As of January 2019, in addition to national data, preliminary estimates for the greenhouse gas emissions account are available for each province and territory."
10,"Data for 2009 to 2017 were revised in March 2021.
"
11,"As of reference year 2014, the classifications of the supply and use tables have been modified to include cannabis related industries."
12,"Environment and Climate Change Canada is responsible for producing a separate set of greenhouse gas estimates:  <a href ="https://www.canada.ca/en/environment-climate-change/services/climate-change/greenhouse-gas-emissions/inventory.html"> Canada's official National Greenhouse Gas Inventory</a> and associated Report (National Inventory Report: Greenhouse Gas Sources and Sinks in Canada). Canada’s official greenhouse gas (GHG) inventory fulfills Canada's reporting obligations under the United Nations Framework Convention on Climate Change (UNFCCC), and is the official benchmark for greenhouse gas emissions in Canada."
13,"The reporting requirements of the United Nations Framework Convention on Climate Change (UNFCCC) differ from the methodological guidelines of the United Nations System of Environmental-Economic Accounting used to create this account. As such there are differences between the totals reported in the Greenhouse Gas Account and Canada's National Inventory Report on Greenhouse Gas Sources and Sinks. These differences are included with the Greenhouse Gas Account and are described in IMDB 5115.
"



"How to cite: Statistics Canada. Table 38-10-0097-01  Physical flow account for greenhouse gas emissions"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3810009701
