"Waste materials diverted, by type and by source 1 2 3 4"
"Frequency: Every 2 years"
"Table: 38-10-0138-01"
"Release date: 2021-03-08"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

"Geography","Type of materials diverted","Sources of materials prepared for recycling","2018"
,"Construction, renovation and demolition","All sources of diverted materials","722,451"
,,"Residential sources of diverted materials 6","117,626"
,,"Non-residential sources of diverted materials 7","604,825"
,"Organics","All sources of diverted materials","2,872,960"
,,"Residential sources of diverted materials 6","2,272,984"
,,"Non-residential sources of diverted materials 7","599,976"
,"Other materials 14","All sources of diverted materials","63,973"
,,"Residential sources of diverted materials 6","46,485"
,,"Non-residential sources of diverted materials 7","17,488"
"Newfoundland and Labrador","All materials diverted 5","All sources of diverted materials","41,739"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"All paper fibres 8","All sources of diverted materials","28,679"
,,"Residential sources of diverted materials 6","13,451"
,,"Non-residential sources of diverted materials 7","15,228"
,"Glass","All sources of diverted materials","x"
,,"Residential sources of diverted materials 6","x"
,,"Non-residential sources of diverted materials 7","x"
,"Ferrous metals","All sources of diverted materials","534"
,,"Residential sources of diverted materials 6","x"
,,"Non-residential sources of diverted materials 7","x"
,"Copper and aluminum","All sources of diverted materials","106"
,,"Residential sources of diverted materials 6","x"
,,"Non-residential sources of diverted materials 7","x"
,"Mixed metals","All sources of diverted materials","x"
,,"Residential sources of diverted materials 6","x"
,,"Non-residential sources of diverted materials 7","x"
,"White goods","All sources of diverted materials","1,262"
,,"Residential sources of diverted materials 6","1,262"
,,"Non-residential sources of diverted materials 7","0"
,"Electronics 9 10","All sources of diverted materials","796"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"Plastics","All sources of diverted materials","1,108"
,,"Residential sources of diverted materials 6","987"
,,"Non-residential sources of diverted materials 7","121"
,"Gable top and aseptic containers 11","All sources of diverted materials","543"
,,"Residential sources of diverted materials 6","457"
,,"Non-residential sources of diverted materials 7","86"
,"Textiles 12","All sources of diverted materials","0"
,,"Residential sources of diverted materials 6","0"
,,"Non-residential sources of diverted materials 7","0"
,"Tires 10 13","All sources of diverted materials","5,929"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"Construction, renovation and demolition","All sources of diverted materials","0"
,,"Residential sources of diverted materials 6","0"
,,"Non-residential sources of diverted materials 7","0"
,"Organics","All sources of diverted materials","905"
,,"Residential sources of diverted materials 6","x"
,,"Non-residential sources of diverted materials 7","x"
,"Other materials 14","All sources of diverted materials","0"
,,"Residential sources of diverted materials 6","0"
,,"Non-residential sources of diverted materials 7","0"
"Prince Edward Island","All materials diverted 5","All sources of diverted materials","56,795"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"All paper fibres 8","All sources of diverted materials","12,214"
,,"Residential sources of diverted materials 6","4,641"
,,"Non-residential sources of diverted materials 7","7,573"
,"Glass","All sources of diverted materials","268"
,,"Residential sources of diverted materials 6","102"
,,"Non-residential sources of diverted materials 7","166"
,"Ferrous metals","All sources of diverted materials","9,363"
,,"Residential sources of diverted materials 6","3,558"
,,"Non-residential sources of diverted materials 7","5,805"
,"Copper and aluminum","All sources of diverted materials","1,625"
,,"Residential sources of diverted materials 6","674"
,,"Non-residential sources of diverted materials 7","951"
,"Mixed metals","All sources of diverted materials","2,004"
,,"Residential sources of diverted materials 6","762"
,,"Non-residential sources of diverted materials 7","1,242"
,"White goods","All sources of diverted materials","6,790"
,,"Residential sources of diverted materials 6","2,580"
,,"Non-residential sources of diverted materials 7","4,210"
,"Electronics 9 10","All sources of diverted materials","458"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"Plastics","All sources of diverted materials","939"
,,"Residential sources of diverted materials 6","357"
,,"Non-residential sources of diverted materials 7","582"
,"Gable top and aseptic containers 11","All sources of diverted materials","0"
,,"Residential sources of diverted materials 6","0"
,,"Non-residential sources of diverted materials 7","0"
,"Textiles 12","All sources of diverted materials","0"
,,"Residential sources of diverted materials 6","0"
,,"Non-residential sources of diverted materials 7","0"
,"Tires 10 13","All sources of diverted materials","2,354"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"Construction, renovation and demolition","All sources of diverted materials","0"
,,"Residential sources of diverted materials 6","0"
,,"Non-residential sources of diverted materials 7","0"
,"Organics","All sources of diverted materials","20,445"
,,"Residential sources of diverted materials 6","16,116"
,,"Non-residential sources of diverted materials 7","4,329"
,"Other materials 14","All sources of diverted materials","335"
,,"Residential sources of diverted materials 6","127"
,,"Non-residential sources of diverted materials 7","208"
"Nova Scotia","All materials diverted 5","All sources of diverted materials","316,688"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"All paper fibres 8","All sources of diverted materials","73,462"
,,"Residential sources of diverted materials 6","39,869"
,,"Non-residential sources of diverted materials 7","33,593"
,"Glass","All sources of diverted materials","4,184"
,,"Residential sources of diverted materials 6","x"
,,"Non-residential sources of diverted materials 7","x"
,"Ferrous metals","All sources of diverted materials","5,536"
,,"Residential sources of diverted materials 6","5,128"
,,"Non-residential sources of diverted materials 7","408"
,"Copper and aluminum","All sources of diverted materials","455"
,,"Residential sources of diverted materials 6","424"
,,"Non-residential sources of diverted materials 7","31"
,"Mixed metals","All sources of diverted materials","x"
,,"Residential sources of diverted materials 6","x"
,,"Non-residential sources of diverted materials 7","x"
,"White goods","All sources of diverted materials","1,096"
,,"Residential sources of diverted materials 6","x"
,,"Non-residential sources of diverted materials 7","x"
,"Electronics 9 10","All sources of diverted materials","3,169"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"Plastics","All sources of diverted materials","15,021"
,,"Residential sources of diverted materials 6","10,725"
,,"Non-residential sources of diverted materials 7","4,296"
,"Gable top and aseptic containers 11","All sources of diverted materials","1,054"
,,"Residential sources of diverted materials 6","972"
,,"Non-residential sources of diverted materials 7","82"
,"Textiles 12","All sources of diverted materials","x"
,,"Residential sources of diverted materials 6","x"
,,"Non-residential sources of diverted materials 7","x"
,"Tires 10 13","All sources of diverted materials","14,272"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"Construction, renovation and demolition","All sources of diverted materials","49,594"
,,"Residential sources of diverted materials 6","5,256"
,,"Non-residential sources of diverted materials 7","44,339"
,"Organics","All sources of diverted materials","148,348"
,,"Residential sources of diverted materials 6","97,195"
,,"Non-residential sources of diverted materials 7","51,153"
,"Other materials 14","All sources of diverted materials","x"
,,"Residential sources of diverted materials 6","x"
,,"Non-residential sources of diverted materials 7","x"
"New Brunswick","All materials diverted 5","All sources of diverted materials","163,740"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"All paper fibres 8","All sources of diverted materials","28,120"
,,"Residential sources of diverted materials 6","16,464"
,,"Non-residential sources of diverted materials 7","11,656"
,"Glass","All sources of diverted materials","4,404"
,,"Residential sources of diverted materials 6","2,220"
,,"Non-residential sources of diverted materials 7","2,184"
,"Ferrous metals","All sources of diverted materials","1,519"
,,"Residential sources of diverted materials 6","1,101"
,,"Non-residential sources of diverted materials 7","418"
,"Copper and aluminum","All sources of diverted materials","2,159"
,,"Residential sources of diverted materials 6","2,011"
,,"Non-residential sources of diverted materials 7","148"
,"Mixed metals","All sources of diverted materials","618"
,,"Residential sources of diverted materials 6","x"
,,"Non-residential sources of diverted materials 7","x"
,"White goods","All sources of diverted materials","134"
,,"Residential sources of diverted materials 6","x"
,,"Non-residential sources of diverted materials 7","x"
,"Electronics 9 10","All sources of diverted materials","861"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"Plastics","All sources of diverted materials","5,477"
,,"Residential sources of diverted materials 6","3,133"
,,"Non-residential sources of diverted materials 7","2,344"
,"Gable top and aseptic containers 11","All sources of diverted materials","473"
,,"Residential sources of diverted materials 6","x"
,,"Non-residential sources of diverted materials 7","x"
,"Textiles 12","All sources of diverted materials","0"
,,"Residential sources of diverted materials 6","0"
,,"Non-residential sources of diverted materials 7","0"
,"Tires 10 13","All sources of diverted materials","10,845"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"Construction, renovation and demolition","All sources of diverted materials","10,816"
,,"Residential sources of diverted materials 6","640"
,,"Non-residential sources of diverted materials 7","10,176"
,"Organics","All sources of diverted materials","94,261"
,,"Residential sources of diverted materials 6","x"
,,"Non-residential sources of diverted materials 7","x"
,"Other materials 14","All sources of diverted materials","4,053"
,,"Residential sources of diverted materials 6","3,689"
,,"Non-residential sources of diverted materials 7","364"
"Quebec 15","All materials diverted 5","All sources of diverted materials","2,778,122"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"All paper fibres 8","All sources of diverted materials","1,100,000"
,,"Residential sources of diverted materials 6","527,000"
,,"Non-residential sources of diverted materials 7","573,000"
,"Glass","All sources of diverted materials","52,335"
,,"Residential sources of diverted materials 6","45,000"
,,"Non-residential sources of diverted materials 7","7,335"
,"Ferrous metals","All sources of diverted materials","316,200"
,,"Residential sources of diverted materials 6","39,000"
,,"Non-residential sources of diverted materials 7","277,200"
,"Copper and aluminum","All sources of diverted materials","52,800"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7","52,800"
,"Mixed metals","All sources of diverted materials","0"
,,"Residential sources of diverted materials 6","0"
,,"Non-residential sources of diverted materials 7","0"
,"White goods","All sources of diverted materials","278,110"
,,"Residential sources of diverted materials 6","0"
,,"Non-residential sources of diverted materials 7","278,110"
,"Electronics 9 10","All sources of diverted materials","21,387"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"Plastics","All sources of diverted materials","83,000"
,,"Residential sources of diverted materials 6","59,000"
,,"Non-residential sources of diverted materials 7","24,000"
,"Gable top and aseptic containers 11","All sources of diverted materials","0"
,,"Residential sources of diverted materials 6","0"
,,"Non-residential sources of diverted materials 7","0"
,"Textiles 12","All sources of diverted materials","55,440"
,,"Residential sources of diverted materials 6","55,440"
,,"Non-residential sources of diverted materials 7","0"
,"Tires 10 13","All sources of diverted materials","91,850"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"Construction, renovation and demolition","All sources of diverted materials","295,000"
,,"Residential sources of diverted materials 6","0"
,,"Non-residential sources of diverted materials 7","295,000"
,"Organics","All sources of diverted materials","432,000"
,,"Residential sources of diverted materials 6","381,000"
,,"Non-residential sources of diverted materials 7","51,000"
,"Other materials 14","All sources of diverted materials","0"
,,"Residential sources of diverted materials 6","0"
,,"Non-residential sources of diverted materials 7","0"
"Ontario","All materials diverted 5","All sources of diverted materials","3,341,233"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"All paper fibres 8","All sources of diverted materials","1,318,720"
,,"Residential sources of diverted materials 6","581,930"
,,"Non-residential sources of diverted materials 7","736,790"
,"Glass","All sources of diverted materials","114,145"
,,"Residential sources of diverted materials 6","83,926"
,,"Non-residential sources of diverted materials 7","30,219"
,"Ferrous metals","All sources of diverted materials","115,659"
,,"Residential sources of diverted materials 6","38,548"
,,"Non-residential sources of diverted materials 7","77,111"
,"Copper and aluminum","All sources of diverted materials","22,092"
,,"Residential sources of diverted materials 6","11,849"
,,"Non-residential sources of diverted materials 7","10,243"
,"Mixed metals","All sources of diverted materials","39,393"
,,"Residential sources of diverted materials 6","14,728"
,,"Non-residential sources of diverted materials 7","24,665"
,"White goods","All sources of diverted materials","11,410"
,,"Residential sources of diverted materials 6","10,056"
,,"Non-residential sources of diverted materials 7","1,354"
,"Electronics 9 10","All sources of diverted materials","45,967"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"Plastics","All sources of diverted materials","125,619"
,,"Residential sources of diverted materials 6","98,365"
,,"Non-residential sources of diverted materials 7","27,254"
,"Gable top and aseptic containers 11","All sources of diverted materials","8,993"
,,"Residential sources of diverted materials 6","7,346"
,,"Non-residential sources of diverted materials 7","1,647"
,"Textiles 12","All sources of diverted materials","1,213"
,,"Residential sources of diverted materials 6","1,206"
,,"Non-residential sources of diverted materials 7","7"
,"Tires 10 13","All sources of diverted materials","210,704"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"Construction, renovation and demolition","All sources of diverted materials","156,312"
,,"Residential sources of diverted materials 6","53,873"
,,"Non-residential sources of diverted materials 7","102,439"
,"Organics","All sources of diverted materials","1,145,169"
,,"Residential sources of diverted materials 6","1,053,104"
,,"Non-residential sources of diverted materials 7","92,065"
,"Other materials 14","All sources of diverted materials","25,837"
,,"Residential sources of diverted materials 6","18,823"
,,"Non-residential sources of diverted materials 7","7,014"
"Manitoba","All materials diverted 5","All sources of diverted materials","221,697"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"All paper fibres 8","All sources of diverted materials","87,664"
,,"Residential sources of diverted materials 6","53,684"
,,"Non-residential sources of diverted materials 7","33,980"
,"Glass","All sources of diverted materials","9,015"
,,"Residential sources of diverted materials 6","8,511"
,,"Non-residential sources of diverted materials 7","504"
,"Ferrous metals","All sources of diverted materials","x"
,,"Residential sources of diverted materials 6","x"
,,"Non-residential sources of diverted materials 7","x"
,"Copper and aluminum","All sources of diverted materials","2,571"
,,"Residential sources of diverted materials 6","2,207"
,,"Non-residential sources of diverted materials 7","364"
,"Mixed metals","All sources of diverted materials","4,199"
,,"Residential sources of diverted materials 6","3,287"
,,"Non-residential sources of diverted materials 7","912"
,"White goods","All sources of diverted materials","2,973"
,,"Residential sources of diverted materials 6","1,824"
,,"Non-residential sources of diverted materials 7","1,149"
,"Electronics 9 10","All sources of diverted materials","3,024"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"Plastics","All sources of diverted materials","6,788"
,,"Residential sources of diverted materials 6","5,735"
,,"Non-residential sources of diverted materials 7","1,053"
,"Gable top and aseptic containers 11","All sources of diverted materials","x"
,,"Residential sources of diverted materials 6","x"
,,"Non-residential sources of diverted materials 7","x"
,"Textiles 12","All sources of diverted materials","x"
,,"Residential sources of diverted materials 6","x"
,,"Non-residential sources of diverted materials 7","x"
,"Tires 10 13","All sources of diverted materials","16,005"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"Construction, renovation and demolition","All sources of diverted materials","3,996"
,,"Residential sources of diverted materials 6","2,584"
,,"Non-residential sources of diverted materials 7","1,412"
,"Organics","All sources of diverted materials","56,272"
,,"Residential sources of diverted materials 6","43,193"
,,"Non-residential sources of diverted materials 7","13,079"
,"Other materials 14","All sources of diverted materials","6,232"
,,"Residential sources of diverted materials 6","3,520"
,,"Non-residential sources of diverted materials 7","2,712"
"Saskatchewan","All materials diverted 5","All sources of diverted materials","194,702"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"All paper fibres 8","All sources of diverted materials","57,379"
,,"Residential sources of diverted materials 6","37,807"
,,"Non-residential sources of diverted materials 7","19,572"
,"Glass","All sources of diverted materials","x"
,,"Residential sources of diverted materials 6","x"
,,"Non-residential sources of diverted materials 7","x"
,"Ferrous metals","All sources of diverted materials","x"
,,"Residential sources of diverted materials 6","x"
,,"Non-residential sources of diverted materials 7","x"
,"Copper and aluminum","All sources of diverted materials","7,673"
,,"Residential sources of diverted materials 6","6,778"
,,"Non-residential sources of diverted materials 7","895"
,"Mixed metals","All sources of diverted materials","1,621"
,,"Residential sources of diverted materials 6","990"
,,"Non-residential sources of diverted materials 7","631"
,"White goods","All sources of diverted materials","1,855"
,,"Residential sources of diverted materials 6","999"
,,"Non-residential sources of diverted materials 7","856"
,"Electronics 9 10","All sources of diverted materials","2,344"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"Plastics","All sources of diverted materials","10,773"
,,"Residential sources of diverted materials 6","9,913"
,,"Non-residential sources of diverted materials 7","860"
,"Gable top and aseptic containers 11","All sources of diverted materials","1,886"
,,"Residential sources of diverted materials 6","x"
,,"Non-residential sources of diverted materials 7","x"
,"Textiles 12","All sources of diverted materials","0"
,,"Residential sources of diverted materials 6","0"
,,"Non-residential sources of diverted materials 7","0"
,"Tires 10 13","All sources of diverted materials","17,057"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"Construction, renovation and demolition","All sources of diverted materials","3,987"
,,"Residential sources of diverted materials 6","x"
,,"Non-residential sources of diverted materials 7","x"
,"Organics","All sources of diverted materials","33,058"
,,"Residential sources of diverted materials 6","24,805"
,,"Non-residential sources of diverted materials 7","8,253"
,"Other materials 14","All sources of diverted materials","1,349"
,,"Residential sources of diverted materials 6","838"
,,"Non-residential sources of diverted materials 7","511"
"Alberta","All materials diverted 5","All sources of diverted materials","930,862"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"All paper fibres 8","All sources of diverted materials","254,955"
,,"Residential sources of diverted materials 6","140,097"
,,"Non-residential sources of diverted materials 7","114,858"
,"Glass","All sources of diverted materials","68,952"
,,"Residential sources of diverted materials 6","63,136"
,,"Non-residential sources of diverted materials 7","5,816"
,"Ferrous metals","All sources of diverted materials","40,108"
,,"Residential sources of diverted materials 6","5,535"
,,"Non-residential sources of diverted materials 7","34,573"
,"Copper and aluminum","All sources of diverted materials","17,439"
,,"Residential sources of diverted materials 6","12,945"
,,"Non-residential sources of diverted materials 7","4,494"
,"Mixed metals","All sources of diverted materials","13,180"
,,"Residential sources of diverted materials 6","6,397"
,,"Non-residential sources of diverted materials 7","6,783"
,"White goods","All sources of diverted materials","13,842"
,,"Residential sources of diverted materials 6","9,866"
,,"Non-residential sources of diverted materials 7","3,976"
,"Electronics 9 10","All sources of diverted materials","10,111"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"Plastics","All sources of diverted materials","37,086"
,,"Residential sources of diverted materials 6","30,266"
,,"Non-residential sources of diverted materials 7","6,820"
,"Gable top and aseptic containers 11","All sources of diverted materials","x"
,,"Residential sources of diverted materials 6","x"
,,"Non-residential sources of diverted materials 7","x"
,"Textiles 12","All sources of diverted materials","x"
,,"Residential sources of diverted materials 6","x"
,,"Non-residential sources of diverted materials 7","x"
,"Tires 10 13","All sources of diverted materials","67,611"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"Construction, renovation and demolition","All sources of diverted materials","71,041"
,,"Residential sources of diverted materials 6","12,408"
,,"Non-residential sources of diverted materials 7","58,633"
,"Organics","All sources of diverted materials","322,218"
,,"Residential sources of diverted materials 6","238,548"
,,"Non-residential sources of diverted materials 7","83,671"
,"Other materials 14","All sources of diverted materials","3,769"
,,"Residential sources of diverted materials 6","1,887"
,,"Non-residential sources of diverted materials 7","1,882"
"British Columbia","All materials diverted 5","All sources of diverted materials","1,742,710"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"All paper fibres 8","All sources of diverted materials","553,596"
,,"Residential sources of diverted materials 6","119,987"
,,"Non-residential sources of diverted materials 7","433,609"
,"Glass","All sources of diverted materials","118,109"
,,"Residential sources of diverted materials 6","72,748"
,,"Non-residential sources of diverted materials 7","45,361"
,"Ferrous metals","All sources of diverted materials","69,254"
,,"Residential sources of diverted materials 6","15,997"
,,"Non-residential sources of diverted materials 7","53,257"
,"Copper and aluminum","All sources of diverted materials","24,870"
,,"Residential sources of diverted materials 6","3,455"
,,"Non-residential sources of diverted materials 7","21,415"
,"Mixed metals","All sources of diverted materials","54,508"
,,"Residential sources of diverted materials 6","32,301"
,,"Non-residential sources of diverted materials 7","22,207"
,"White goods","All sources of diverted materials","23,983"
,,"Residential sources of diverted materials 6","10,740"
,,"Non-residential sources of diverted materials 7","13,243"
,"Electronics 9 10","All sources of diverted materials","16,893"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"Plastics","All sources of diverted materials","68,137"
,,"Residential sources of diverted materials 6","31,341"
,,"Non-residential sources of diverted materials 7","36,796"
,"Gable top and aseptic containers 11","All sources of diverted materials","291"
,,"Residential sources of diverted materials 6","53"
,,"Non-residential sources of diverted materials 7","238"
,"Textiles 12","All sources of diverted materials","1,270"
,,"Residential sources of diverted materials 6","1,270"
,,"Non-residential sources of diverted materials 7","0"
,"Tires 10 13","All sources of diverted materials","50,230"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"Construction, renovation and demolition","All sources of diverted materials","123,841"
,,"Residential sources of diverted materials 6","40,167"
,,"Non-residential sources of diverted materials 7","83,674"
,"Organics","All sources of diverted materials","615,683"
,,"Residential sources of diverted materials 6","388,632"
,,"Non-residential sources of diverted materials 7","227,051"
,"Other materials 14","All sources of diverted materials","22,045"
,,"Residential sources of diverted materials 6","17,249"
,,"Non-residential sources of diverted materials 7","4,796"
"Yukon, Northwest Territories and Nunavut","All materials diverted 5","All sources of diverted materials","29,319"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"All paper fibres 8","All sources of diverted materials","4,900"
,,"Residential sources of diverted materials 6","2,128"
,,"Non-residential sources of diverted materials 7","2,772"
,"Glass","All sources of diverted materials","286"
,,"Residential sources of diverted materials 6","249"
,,"Non-residential sources of diverted materials 7","37"
,"Ferrous metals","All sources of diverted materials","8,352"
,,"Residential sources of diverted materials 6","2,588"
,,"Non-residential sources of diverted materials 7","5,764"
,"Copper and aluminum","All sources of diverted materials","272"
,,"Residential sources of diverted materials 6","269"
,,"Non-residential sources of diverted materials 7","3"
,"Mixed metals","All sources of diverted materials","611"
,,"Residential sources of diverted materials 6","109"
,,"Non-residential sources of diverted materials 7","502"
,"White goods","All sources of diverted materials","114"
,,"Residential sources of diverted materials 6","103"
,,"Non-residential sources of diverted materials 7","11"
,"Electronics 9 10","All sources of diverted materials","260"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"Plastics","All sources of diverted materials","611"
,,"Residential sources of diverted materials 6","501"
,,"Non-residential sources of diverted materials 7","110"
,"Gable top and aseptic containers 11","All sources of diverted materials","48"
,,"Residential sources of diverted materials 6","47"
,,"Non-residential sources of diverted materials 7","1"
,"Textiles 12","All sources of diverted materials","56"
,,"Residential sources of diverted materials 6","56"
,,"Non-residential sources of diverted materials 7","0"
,"Tires 10 13","All sources of diverted materials","1,047"
,,"Residential sources of diverted materials 6",".."
,,"Non-residential sources of diverted materials 7",".."
,"Construction, renovation and demolition","All sources of diverted materials","7,864"
,,"Residential sources of diverted materials 6","1,966"
,,"Non-residential sources of diverted materials 7","5,898"
,"Organics","All sources of diverted materials","4,601"
,,"Residential sources of diverted materials 6","1,950"
,,"Non-residential sources of diverted materials 7","2,651"
,"Other materials 14","All sources of diverted materials","297"
,,"Residential sources of diverted materials 6","297"
,,"Non-residential sources of diverted materials 7","0"

Symbol legend:
.., not available for a specific reference period
x, suppressed to meet the confidentiality requirements of the Statistics Act



Footnotes:
1,"This information covers only those companies and local waste management organizations that reported non-hazardous recyclable material preparation activities and refers only to that material entering the waste stream and does not cover any waste that may be managed on-site by a company or household. Additionally, these data do not include those materials transported by the generator directly to secondary processors, such as pulp and paper mills, while bypassing entirely any firm or local government involved in waste management activities."
2,"This table replaces and combines information published in tables 38-10-0033 and 38-10-0034, prior to 2018."
3,"Source: Statistics Canada, Environment and Energy Statistics Division."
4,"Revisions are made for the previous survey reference period, with the initial release of the current data, as required."
5,"Residential and non-residential splits are not available at the total level, as electronic and tire source data are unavailable."
6,"Residential non-hazardous recyclable materials include solid non-hazardous materials produced in all residences and include non-hazardous materials that are picked up by the municipality (either using its own staff or through contracting firms) and non-hazardous materials from residential sources that are self-hauled to depots, transfer stations and disposal facilities."
7,"Non-residential sources include solid non-hazardous recyclable material from the Industrial, Commercial, and Institutional (IC and I) sector as well as the Construction, Renovation and Demolition sector (CRD). Materials are those generated by all IC and I and CRD sources in a municipality, and are excluded from the residential waste stream."
8,"Provincial tonnages of diverted Electronics for 2018 were taken from the Electronic Products Recycling Association (EPRA) report, (https://epra.ca/who-we-are/annual-report; accessed December 2020) and Alberta Recycling Management Authority (ARMA) report (https://www.albertarecycling.ca/about/reports/; accessed December 2020). Ontario and Territorial diversion amounts were generated using survey data."
9,"Diverted amounts of tires and electronics were obtained using alternative datasets: source information is not available."
10,"Prior to 2018, "Gable top and aseptic containers" were included with "Other Materials"."
11,"Prior to 2018, "Textiles" may have been included in "Other Materials", however respondents were not asked specifically to report this material."
12,"Provincial tonnages of diverted tires for 2018 were taken from the Canadian Association of Tire Recycling Agencies (CATRA) report, (https://www.catraonline.ca/publications; accessed December 2020).  Territorial diversion amounts were generated using survey data."
13,""Other Materials" includes non-hazardous materials that were reported as diverted but were not included in any of the specified categories.  Prior to 2018, this category included "Gable top and aseptic containers" and "Textiles"."
14,"Includes "Newsprint", "Cardboard and boxboard", and "Mixed paper"."
15,"Waste diversion data for Quebec are derived from a survey administered by RECYC-QUÉBEC. Note that the amount of white goods reported by RECYC-QUÉBEC is disproportionately larger than that reported by other provincial and territorial jurisdictions. The definition of white goods and the collection methodology used by RECYC-QUÉBEC for this category of material differs from that of Statistics Canada's Waste Management Industry Survey, resulting in this discrepancy. All white goods in Quebec were allocated to the non-residential source category."



"How to cite: Statistics Canada. Table 38-10-0138-01  Waste materials diverted, by type and by source"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3810013801
