
Album,Released,Song,Song_Length
"Now for Plan A","2012-Oct-02","About This Map",3.47
"Now for Plan A","2012-Oct-02","Take Forever",3.10
"Now for Plan A","2012-Oct-02","Done and Done",2.53
"Now for Plan A","2012-Oct-02","Goodnight Attawapiskat",4.04
"Man Machine Poem","2016-June-17","Man",5.17
"Man Machine Poem","2016-June-17","In a World Possessed by the Human Mind",3.56
"Man Machine Poem","2016-June-17","What Blue",2.46
"Man Machine Poem","2016-June-17","In Sarnia",4.38
"Man Machine Poem","2016-June-17","Here, in the Dark",4.03
"Man Machine Poem","2016-June-17","Great Soul",3.44
"Man Machine Poem","2016-June-17","Tired as Fuck",3.45
"Man Machine Poem","2016-June-17","Hot Mic",3.55
"Man Machine Poem","2016-June-17","Ocean Next",3.56
"Man Machine Poem","2016-June-17","Machine",5.29
"Saskadelphia","2021-May-21","Ouch",3.10
"Saskadelphia","2021-May-21","Not Necessary",3.01
"Saskadelphia","2021-May-21","Montreal",3.49
"Saskadelphia","2021-May-21","Crack My Spine (Like a Whip)",3.11
"Saskadelphia","2021-May-21","Just as Well",2.35
"Saskadelphia","2021-May-21","Reformed Baptist Blues",3.30



















